openfema_policy_id,match_key,match_type,match_precision,num_matches
75f3ea3a-d76e-478f-a35a-d85e4386821e,(match_latitude==34.4)&(match_longitude==-77.5)&(match_censusBlockGroupFips==371330004031)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==1)&(match_reportedZipCode==28445)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,223
c8b066bd-f361-4aa7-9409-0f6bb735898b,(match_latitude==35.0)&(match_longitude==-79.0)&(match_censusBlockGroupFips==370510020023)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28314)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,329
c1a0a198-c091-48c0-96eb-a76ab0f711dc,(match_latitude==34.0)&(match_longitude==-78.1)&(match_censusBlockGroupFips==370190203045)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28461)&(match_simplifiedOccupancyType==non_residential),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,33
205cb98b-285c-439a-8c1a-20fc6d0ff94d,(match_latitude==35.7)&(match_longitude==-78.9)&(match_censusBlockGroupFips==371830534132)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27562)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,726
4d01b28e-ba35-4c88-8c5a-00b09edc7a58,(match_latitude==35.9)&(match_longitude==-78.9)&(match_censusBlockGroupFips==370630020072)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27707)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,50
4a1944da-3cc5-480c-a5e8-2c9a791d760b,(match_latitude==35.1)&(match_longitude==-79.0)&(match_censusBlockGroupFips==370510033092)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28314)&(match_simplifiedOccupancyType==residential_other),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,11
6725e757-167a-4117-bf8c-4040af55cb14,(match_latitude==33.9)&(match_longitude==-78.6)&(match_censusBlockGroupFips==370190205043)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28467)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,225
d5e9f5c8-4e0f-466a-b0ca-dde2713cce98,(match_latitude==34.3)&(match_longitude==-77.7)&(match_censusBlockGroupFips==371290123001)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28411)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,208
354897b2-cb3e-4143-bdcb-1e72bc1ef37f,(match_latitude==35.4)&(match_longitude==-75.5)&(match_censusBlockGroupFips==370559705021)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27915)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,375
aae2dbb9-422d-41d3-852d-25cb651ad7ba,(match_latitude==33.9)&(match_longitude==-78.5)&(match_censusBlockGroupFips==370190205121)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==1)&(match_reportedZipCode==28468)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,1
2db94a64-7060-4334-9e3a-1c92cc50ffe2,(match_latitude==33.9)&(match_longitude==-78.4)&(match_censusBlockGroupFips==370190205123)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28469)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,937
04be2d8d-b1fd-40dd-9493-6c035adfacb0,(match_latitude==35.9)&(match_longitude==-75.7)&(match_censusBlockGroupFips==370559706021)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27981)&(match_simplifiedOccupancyType==non_residential),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,2
c919182b-05a8-470e-b702-0c5f94ce689d,(match_latitude==34.2)&(match_longitude==-77.9)&(match_censusBlockGroupFips==371290120041)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28409)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,1151
6a7090e2-d271-47d0-a430-b6d5cd3c52e6,(match_latitude==36.5)&(match_longitude==-75.9)&(match_censusBlockGroupFips==370531101021)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27950)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,123
c463c0d9-284c-484d-9b99-51e6a6ecb883,(match_latitude==34.7)&(match_longitude==-76.9)&(match_censusBlockGroupFips==370319706011)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28570)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,79
c565c319-b7b8-4e9e-bdd4-8797eb04c870,(match_latitude==35.9)&(match_longitude==-75.7)&(match_censusBlockGroupFips==370559706014)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27954)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,143
04e39e11-c99c-4842-8333-c75825e4e345,(match_latitude==34.4)&(match_longitude==-77.9)&(match_censusBlockGroupFips==371290115041)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28429)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,279
1a6ef4ed-999c-420e-adc8-b9725d20e6ef,(match_latitude==36.2)&(match_longitude==-75.8)&(match_censusBlockGroupFips==370559701011)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==27949)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,1082
730bfb0c-0613-4c91-bbc4-5296dc4d88e4,(match_latitude==34.7)&(match_longitude==-76.8)&(match_censusBlockGroupFips==370319706041)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28557)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,637
06a64487-991a-403a-8aaa-d1ca365cf2f0,(match_latitude==34.2)&(match_longitude==-78.0)&(match_censusBlockGroupFips==370190201052)&(match_sfhaIndicator==0)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28451)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,1404
b16fc2e5-ff5b-4ae9-bd2d-1d39d394a3e0,(match_latitude==34.7)&(match_longitude==-77.2)&(match_censusBlockGroupFips==371330028011)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28539)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,71
30365738-cf11-4a24-9415-f7162ade454b,(match_latitude==33.9)&(match_longitude==-78.4)&(match_censusBlockGroupFips==370190205111)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28469)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,36
5e74ea41-6c54-40d8-aa3a-4ff837bf1910,(match_latitude==33.9)&(match_longitude==-78.6)&(match_censusBlockGroupFips==370190205043)&(match_sfhaIndicator==1)&(match_coastalFloodZoneIndicator==0)&(match_reportedZipCode==28467)&(match_simplifiedOccupancyType==residential_single_family),match_latitude+match_longitude+match_censusBlockGroupFips+match_sfhaIndicator+match_coastalFloodZoneIndicator+match_reportedZipCode+match_simplifiedOccupancyType,7,225
